X,Y
-1420.0,-3.1800761
-1995.996,-5.1347065
-1991.992,-0.41393602
-1987.988,-19.523157
-1983.984,-2.7903564
-1979.98,-15.356304
-1975.976,5.2659526
-1971.9719,-11.456106
-1967.968,-10.219572
-1963.964,-6.0700483
-1959.96,-11.007612
-1955.9559,-23.589373
-1951.9519,-6.1202445
-1947.948,1.0008444
-1943.944,-3.6929224
-1939.94,-3.1692042
-1935.9359,6.95432
-1931.9319,-3.9451172
-1927.928,-4.2713113
-1923.924,-7.790998
-1919.9199,-9.884471
-1915.9159,-11.227077
-1911.9119,4.001347
-1907.908,-4.5865703
-1903.9039,-12.694711
-1899.8999,-3.54255
-1895.8959,-18.6281
-1891.8918,-10.923545
-1887.888,2.9555035
-1883.8839,-10.148058
-1879.8799,-11.915108
-1875.8759,3.2875862
-1871.8718,-15.0971155
-1867.8679,-7.9700937
-1863.8639,-23.267363
-1859.8599,-4.265891
-1855.8558,1.7962887
-1851.8518,-2.8316607
-1847.8479,-10.560625
-1843.8439,-11.880414
-1839.8398,0.8143261
-1835.8358,-15.264798
-1831.8318,-12.501019
-1827.8279,-0.52585936
-1823.8239,-8.193376
-1819.8198,-4.534287
-1815.8158,-1.1325183
-1811.8118,-4.2471814
-1807.8079,-6.8679986
-1803.8038,-15.8921995
-1799.7998,-10.3600445
-1795.7958,-18.985582
-1791.7917,-1.8395625
-1787.7878,-11.778977
-1783.7838,-17.735193
-1779.7798,-7.66952
-1775.7758,4.8868
-1771.7717,-11.925434
-1767.7678,-6.7967687
-1763.7638,-4.7485933
-1759.7598,2.7592738
-1755.7557,-19.833033
-1751.7517,-2.5907617
-1747.7478,-16.702324
-1743.7438,-4.4099545
-1739.7397,3.192421
-1735.7357,-12.033254
-1731.7317,1.5750161
-1727.7278,-2.5492523
-1723.7238,-14.020752
-1719.7197,-13.917753
-1715.7157,-7.188784
-1711.7117,1.2594099
-1707.7078,-12.516439
-1703.7037,-0.4757045
-1699.6997,-3.2919993
-1695.6957,-2.731801
-1691.6917,-5.3779454
-1687.6877,-7.881443
-1683.6837,-21.888103
-1679.6797,12.487728
-1675.6757,-2.1141145
-1671.6716,-5.774155
-1667.6677,0.9072434
-1663.6637,3.2925854
-1659.6597,-2.9808233
-1655.6556,-2.38854
-1651.6516,4.391422
-1647.6477,-8.258481
-1643.6437,-7.3268557
-1639.6396,-7.5416775
-1635.6356,-15.073588
-1631.6316,1.0594422
-1627.6277,-10.972618
-1623.6237,-16.599724
-1619.6196,-11.185495
-1615.6156,-17.468082
-1611.6116,-10.758998
-1607.6077,0.5246431
-1603.6036,-10.28324
-1599.5996,-15.908362
-1595.5956,-10.229963
-1591.5916,12.783945
-1587.5876,-0.83660036
-1583.5836,-16.18348
-1579.5796,-2.1401937
-1575.5756,-6.4385037
-1571.5715,-17.478077
-1567.5676,-11.365564
-1563.5636,-6.727186
-1559.5596,-3.438965
-1555.5555,-17.954882
-1551.5515,-12.063713
-1547.5476,-2.7297766
-1543.5436,7.6140165
-1539.5396,-6.1336737
-1535.5355,-18.512112
-1531.5315,-8.369737
-1527.5276,-2.9179735
-1523.5236,-2.4446132
-1519.5195,-7.032819
-1515.5155,-15.929522
-1511.5115,-9.708674
-1507.5076,-1.3854077
-1503.5035,-3.6031585
-1499.4995,-4.4190526
-1495.4955,-1.8706535
-1491.4915,-10.109952
-1487.4874,-8.355366
-1483.4835,-19.905148
-1479.4795,-9.093905
-1475.4755,-2.306412
-1471.4714,-4.9410505
-1467.4674,-9.302222
-1463.4635,-5.350846
-1459.4595,-7.1782074
-1455.4554,-4.9145713
-1451.4514,2.1514516
-1447.4474,-3.1638973
-1443.4435,2.5516715
-1439.4395,-7.4266148
-1435.4354,-12.359936
-1431.4314,-1.2206678
-1427.4274,7.1947913
-1423.4235,-9.211778
-1419.4194,-2.9885654
-1415.4154,4.5795174
-1411.4114,-15.885292
-1407.4073,-4.758723
-1403.4034,-13.669897
-1399.3994,3.4182544
-1395.3954,-5.4067936
-1391.3914,-1.0452722
-1387.3873,-6.2653418
-1383.3834,4.8706417
-1379.3794,-3.1596148
-1375.3754,-12.72211
-1371.3713,0.34891912
-1367.3673,9.908982
-1363.3634,-8.144542
-1359.3594,3.2808926
-1355.3553,-13.669805
-1351.3513,17.38144
-1347.3473,-14.164447
-1343.3434,-0.60830444
-1339.3394,-17.397053
-1335.3353,-3.05323
-1331.3313,-2.4123228
-1327.3273,-1.4303405
-1323.3234,-19.590132
-1319.3193,-7.6420527
-1315.3153,-13.059225
-1311.3113,0.017006662
-1307.3073,-2.746785
-1303.3033,-14.82161
-1299.2993,-6.3790646
-1295.2953,-9.8600235
-1291.2913,-5.6543274
-1287.2872,-2.7593758
-1283.2833,-0.6561573
-1279.2793,-4.2977977
-1275.2753,-2.6639032
-1271.2712,-9.843803
-1267.2672,6.8795223
-1263.2633,-10.704262
-1259.2593,-6.5067835
-1255.2552,-19.176918
-1251.2512,2.87212
-1247.2472,3.4861317
-1243.2433,-6.5929985
-1239.2393,-0.09360909
-1235.2352,-1.8066566
-1231.2312,3.6496642
-1227.2272,-6.644245
-1223.2233,12.952316
-1219.2192,-3.4925911
-1215.2152,-9.3684435
-1211.2112,-8.046419
-1207.2072,10.460577
-1203.2032,-15.318872
-1199.1992,-5.168467
-1195.1952,4.8706
-1191.1912,-5.991231
-1187.1871,-2.8493156
-1183.1832,-5.7891936
-1179.1792,3.4305096
-1175.1752,3.8943744
-1171.1711,7.620225
-1167.1671,6.8027096
-1163.1632,11.332038
-1159.1592,-5.09016
-1155.1552,-9.029966
-1151.1511,-1.3957934
-1147.1471,-12.571696
-1143.1432,-14.297052
-1139.1392,10.278387
-1135.1351,-5.2314086
-1131.1311,-5.597384
-1127.1271,-0.62047493
-1123.1232,-1.7847278
-1119.1191,-5.206245
-1115.1151,1.3662202
-1111.1111,-7.642453
-1107.107,-5.5887976
-1103.1031,-12.831669
-1099.0991,-1.0655893
-1095.0951,3.0402997
-1091.0911,-1.4794794
-1087.087,1.854831
-1083.0831,-2.5137682
-1079.0791,0.5136903
-1075.0751,-2.283935
-1071.071,-14.226029
-1067.067,-11.570915
-1063.0631,-5.9273434
-1059.0591,-17.370888
-1055.055,-13.589315
-1051.051,-16.349413
-1047.047,-3.2454646
-1043.0431,-1.3193722
-1039.0391,-11.572
-1035.035,-9.28259
-1031.031,2.6493537
-1027.027,-4.3965054
-1023.023,1.9334188
-1019.01904,-1.4080727
-1015.015,-6.9440775
-1011.011,-7.36211
-1007.007,-10.330177
-1003.003,-10.644945
-998.999,-10.953551
-994.995,-6.1058702
-990.99097,3.9709573
-986.987,10.991748
-982.983,-18.958729
-978.979,-0.2830401
-974.975,2.7266073
-970.97095,-7.5049496
-966.967,0.78576285
-962.96295,4.6015463
-958.959,-11.686084
-954.95496,-14.336252
-950.9509,3.0321105
-946.94696,-6.3272552
-942.94293,1.3668036
-938.93896,0.023992095
-934.93494,-9.738301
-930.9309,0.0061205076
-926.92694,-11.072563
-922.9229,-6.0247355
-918.91895,-4.3430595
-914.9149,5.369262
-910.9109,-11.000137
-906.9069,4.908226
-902.9029,-12.00601
-898.8989,-9.75388
-894.8949,-3.7948308
-890.89087,-7.5243273
-886.8869,-5.404101
-882.8829,-1.9228133
-878.8789,-12.485535
-874.8749,-16.005589
-870.87085,-15.565815
-866.8669,-5.783055
-862.86285,-1.5097672
-858.8589,-4.360022
-854.85486,-6.8519063
-850.8508,4.7691603
-846.84686,-5.092197
-842.84283,-9.905701
-838.83887,0.16136473
-834.83484,-18.915262
-830.8308,1.2670234
-826.82684,-0.31036535
-822.8228,8.013023
-818.81885,-9.474757
-814.8148,-10.405488
-810.8108,-0.19148183
-806.8068,4.7434998
-802.8028,1.059696
-798.7988,-12.032293
-794.7948,-10.947391
-790.7908,0.41044635
-786.7868,-2.3852668
-782.7828,-2.3398337
-778.7788,0.33780283
-774.7748,5.2956347
-770.77075,4.8751893
-766.7668,-2.6569817
-762.76276,-3.2659137
-758.7588,-7.9418044
-754.75476,-6.8589654
-750.75073,2.2431047
-746.74677,-3.2755306
-742.74274,11.011058
-738.7387,-7.800125
-734.73474,-23.966284
-730.7307,-8.854946
-726.72675,-1.9957348
-722.7227,-12.09627
-718.7187,8.455367
-714.7147,-9.108368
-710.7107,-0.2570816
-706.7067,8.610003
-702.7027,0.035916973
-698.69867,6.924108
-694.6947,-6.840096
-690.6907,5.9687724
-686.6867,-3.4566357
