X,Y
-2000.0,-3.664
-1995.996,-3.6566646
-1991.992,-3.6493294
-1987.988,-3.641994
-1983.984,-3.6346586
-1979.98,-3.0520422
-1975.976,-3.619988
-1971.9719,-3.6126525
-1967.968,-3.6053174
-1963.964,-2.4717517
-1959.96,-3.5906467
-1955.9559,11.310116
-1951.9519,-3.575976
-1947.948,-3.5686407
-1943.944,-3.5613053
-1939.94,-3.5539699
-1935.9359,-3.5466347
-1931.9319,-3.5392992
-1927.928,-3.531964
-1923.924,-3.5246286
-1919.9199,-3.5172932
-1915.9159,-3.509958
-1911.9119,-3.5026226
-1907.908,-3.4952872
-1903.9039,-3.487952
-1899.8999,-3.4806166
-1895.8959,-3.4732814
-1891.8918,-3.465946
-1887.888,-3.4586105
-1883.8839,-3.4512753
-1879.8799,-3.44394
-1875.8759,-3.4366045
-1871.8718,-3.4292693
-1867.8679,-3.421934
-1863.8639,-3.4145987
-1859.8599,-3.4072633
-1855.8558,-3.3999279
-1851.8518,-3.3925927
-1847.8479,-3.3852572
-1843.8439,-3.3779218
-1839.8398,-3.3705866
-1835.8358,-3.3632512
-1831.8318,-3.355916
-1827.8279,-3.3485806
-1823.8239,-3.3412452
-1819.8198,-3.33391
-1815.8158,-3.3265746
-1811.8118,-3.3192391
-1807.8079,-3.311904
-1803.8038,-3.3045685
-1799.7998,-3.2972333
-1795.7958,-3.289898
-1791.7917,-3.2825625
-1787.7878,-3.2752273
-1783.7838,-3.267892
-1779.7798,-3.2605565
-1775.7758,-3.2532213
-1771.7717,-3.2458858
-1767.7678,-3.2385507
-1763.7638,-3.2312152
-1759.7598,-3.2238798
-1755.7557,-3.2165446
-1751.7517,-3.2092092
-1747.7478,-3.2018738
-1743.7438,-3.1945386
-1739.7397,-3.1872032
-1735.7357,-3.179868
-1731.7317,-3.1725326
-1727.7278,-3.1651971
-1723.7238,-3.157862
-1719.7197,-3.1505265
-1715.7157,-3.143191
-1711.7117,-3.135856
-1707.7078,-3.1285205
-1703.7037,-3.1211853
-1699.6997,-3.1138499
-1695.6957,-3.1065145
-1691.6917,-3.0991793
-1687.6877,-3.0918438
-1683.6837,-3.0845084
-1679.6797,-3.0771732
-1675.6757,-16.662806
-1671.6716,-3.0625024
-1667.6677,-3.0551672
-1663.6637,-3.0478318
-1659.6597,-3.0404966
-1655.6556,-3.0331612
-1651.6516,9.703421
-1647.6477,-3.0184906
-1643.6437,-3.0111551
-1639.6396,-3.0038197
-1635.6356,-2.9964845
-1631.6316,-2.989149
-1627.6277,-2.981814
-1623.6237,-2.9744785
-1619.6196,-2.967143
-1615.6156,-2.9598079
-1611.6116,-2.9524724
-1607.6077,-2.945137
-1603.6036,-2.9378018
-1599.5996,-2.9304664
-1595.5956,-2.9231312
-1591.5916,-2.9157958
-1587.5876,-2.9084604
-1583.5836,-4.71543
-1579.5796,-2.8937898
-1575.5756,-2.8864543
-1571.5715,-2.8791192
-1567.5676,-2.8717837
-1563.5636,-2.8644485
-1559.5596,-2.8571131
-1555.5555,-2.8497777
-1551.5515,6.0691895
-1547.5476,-2.835107
-1543.5436,-2.8277717
-1539.5396,-2.8204365
-1535.5355,-2.813101
-1531.5315,-2.8057659
-1527.5276,-2.7984304
-1523.5236,-2.791095
-1519.5195,-2.7837598
-1515.5155,-2.7764244
-1511.5115,-2.769089
-1507.5076,-2.7617538
-1503.5035,-2.7544184
-1499.4995,-2.7470832
-1495.4955,-2.7397478
-1491.4915,1.6279001
-1487.4874,-2.7250772
-1483.4835,-2.7177417
-1479.4795,-2.7104063
-1475.4755,-2.703071
-1471.4714,-2.6957357
-1467.4674,-2.6884005
-1463.4635,-2.681065
-1459.4595,-10.115003
-1455.4554,-2.6663945
-1451.4514,-2.659059
-1447.4474,-2.6517236
-1443.4435,-2.6443884
-1439.4395,-2.637053
-1435.4354,-2.6297178
-1431.4314,-2.6223824
-1427.4274,-2.615047
-1423.4235,-2.6077118
-1419.4194,-2.6003764
-1415.4154,-2.593041
-1411.4114,-2.5857058
-1407.4073,-2.5783703
-1403.4034,-2.5710351
-1399.3994,-2.5636997
-1395.3954,-2.5563643
-1391.3914,-2.549029
-1387.3873,-2.5416937
-1383.3834,-2.5343583
-1379.3794,-11.672451
-1375.3754,-2.5196877
-1371.3713,-2.5123525
-1367.3673,-2.505017
-1363.3634,-2.4976816
-1359.3594,-2.4903464
-1355.3553,-8.804801
-1351.3513,-2.4756756
-1347.3473,-2.4683404
-1343.3434,-2.461005
-1339.3394,-2.4536698
-1335.3353,-2.4463344
-1331.3313,-2.438999
-1327.3273,-2.4316638
-1323.3234,-2.4243283
-1319.3193,-2.416993
-1315.3153,-2.4096577
-1311.3113,-2.4023223
-1307.3073,-2.3949869
-1303.3033,-2.3876517
-1299.2993,-4.5643125
-1295.2953,-2.372981
-1291.2913,-2.3656456
-1287.2872,-2.3583102
-1283.2833,-2.350975
-1279.2793,-2.3436396
-1275.2753,-2.3363042
-1271.2712,-2.328969
-1267.2672,-2.3216336
-1263.2633,-2.3142984
-1259.2593,-2.306963
-1255.2552,-2.2996275
-1251.2512,-2.2922924
-1247.2472,-2.284957
-1243.2433,-2.2776215
-1239.2393,-2.2702863
-1235.2352,-2.262951
-1231.2312,-2.2556157
-1227.2272,-2.2482803
-1223.2233,-2.2409449
-1219.2192,-2.2336097
-1215.2152,-2.2262743
-1211.2112,-2.2189388
-1207.2072,-2.2116036
-1203.2032,-2.2042682
-1199.1992,-0.5078659
-1195.1952,-2.1895976
-1191.1912,-2.1822622
-1187.1871,-2.174927
-1183.1832,-2.1675916
-1179.1792,-2.1602561
-1175.1752,-2.152921
-1171.1711,-2.1455855
-1167.1671,-2.1382504
-1163.1632,-2.130915
-1159.1592,-2.1235795
