X,Y
-1500.0,-35.908855
-1995.996,5.8980637
-1991.992,-9.247846
-1987.988,-8.10324
-1983.984,-16.963303
-1979.98,-23.179138
-1975.976,5.2359066
-1971.9719,7.525453
-1967.968,15.317528
-1963.964,12.138024
-1959.96,14.393181
-1955.9559,3.3812478
-1951.9519,-13.31942
-1947.948,3.74406
-1943.944,-10.15205
-1939.94,-22.139221
-1935.9359,-11.320459
-1931.9319,-22.669468
-1927.928,-15.68135
-1923.924,3.88544
-1919.9199,-15.650129
-1915.9159,-0.20967127
-1911.9119,-1.2471089
-1907.908,-0.83629155
-1903.9039,-11.773263
-1899.8999,16.72682
-1895.8959,-9.272772
-1891.8918,-2.7816963
-1887.888,-15.003052
-1883.8839,-10.917454
-1879.8799,-7.9677606
-1875.8759,-24.351908
-1871.8718,-3.7391374
-1867.8679,7.068602
-1863.8639,-7.382943
-1859.8599,-5.98993
-1855.8558,-17.678066
-1851.8518,-21.744286
-1847.8479,-2.5415816
-1843.8439,-12.206904
-1839.8398,-14.249735
-1835.8358,-16.957853
-1831.8318,17.555895
-1827.8279,10.695463
-1823.8239,-13.4008045
-1819.8198,-3.2333279
-1815.8158,-0.38528302
-1811.8118,-18.031113
-1807.8079,30.318144
-1803.8038,-11.564284
-1799.7998,-17.084602
-1795.7958,-8.507153
-1791.7917,-6.7408
-1787.7878,-8.177217
-1783.7838,14.415281
-1779.7798,-10.234279
-1775.7758,9.009905
-1771.7717,-1.8655766
-1767.7678,-0.113475405
-1763.7638,-8.816261
-1759.7598,13.981236
-1755.7557,32.40383
-1751.7517,-19.802582
-1747.7478,-15.9975395
-1743.7438,-3.7798703
-1739.7397,-0.85141265
-1735.7357,-18.106388
-1731.7317,3.1331222
-1727.7278,19.723085
-1723.7238,16.94941
-1719.7197,15.03387
-1715.7157,-8.623239
-1711.7117,2.8573606
-1707.7078,-11.031072
-1703.7037,-8.992038
-1699.6997,12.680143
-1695.6957,18.77287
-1691.6917,-13.584923
-1687.6877,-3.967131
-1683.6837,-12.177616
-1679.6797,-13.856733
-1675.6757,-21.077469
-1671.6716,-12.21996
-1667.6677,-10.263535
-1663.6637,2.554112
-1659.6597,-2.9790843
-1655.6556,-17.191648
-1651.6516,-2.0222225
-1647.6477,-27.363693
-1643.6437,-5.838506
-1639.6396,-21.858335
-1635.6356,-8.693481
-1631.6316,-1.3861796
-1627.6277,18.50107
-1623.6237,0.9463058
-1619.6196,-6.0272064
-1615.6156,-16.66663
-1611.6116,-5.293119
-1607.6077,-14.056574
-1603.6036,9.511726
-1599.5996,-8.455062
-1595.5956,-15.955379
-1591.5916,17.99334
-1587.5876,-4.5507016
-1583.5836,12.859475
-1579.5796,-5.4585543
-1575.5756,12.720596
-1571.5715,13.412671
-1567.5676,3.9848099
-1563.5636,-12.152074
-1559.5596,22.747246
-1555.5555,-20.967762
-1551.5515,0.012587878
-1547.5476,30.687014
-1543.5436,1.3853766
-1539.5396,-5.0531015
-1535.5355,-24.542759
-1531.5315,0.608848
-1527.5276,-21.835953
-1523.5236,3.587255
-1519.5195,-7.758023
-1515.5155,0.2773842
-1511.5115,-11.217524
-1507.5076,-9.659719
-1503.5035,11.264529
-1499.4995,19.463638
-1495.4955,7.5784125
-1491.4915,-4.6540117
-1487.4874,1.8914133
-1483.4835,-32.45588
-1479.4795,11.355577
-1475.4755,18.594294
-1471.4714,-11.732397
-1467.4674,-20.498606
-1463.4635,-8.672346
-1459.4595,-16.557144
-1455.4554,-11.230098
-1451.4514,-5.0964484
-1447.4474,-9.52441
-1443.4435,-15.911751
-1439.4395,4.364937
-1435.4354,-14.138081
-1431.4314,-11.099383
-1427.4274,-34.198406
-1423.4235,-3.014033
-1419.4194,-52.887726
-1415.4154,-11.180849
-1411.4114,-7.6761875
-1407.4073,-14.944541
-1403.4034,-9.845891
-1399.3994,-2.2030818
-1395.3954,-5.8222775
-1391.3914,-60.94721
-1387.3873,-5.604338
-1383.3834,7.683824
-1379.3794,-4.7721334
-1375.3754,-2.6129453
-1371.3713,-7.623886
-1367.3673,2.2617128
-1363.3634,-6.032528
-1359.3594,-3.919858
-1355.3553,-1.0380598
-1351.3513,-1.8294461
-1347.3473,-1.8906953
-1343.3434,-3.7219672
-1339.3394,-31.70262
-1335.3353,-2.9006085
-1331.3313,-4.1702642
-1327.3273,-27.188911
-1323.3234,-6.789256
-1319.3193,9.52289
-1315.3153,-17.073961
-1311.3113,-56.600407
-1307.3073,-4.0131946
-1303.3033,0.06739026
-1299.2993,-13.774423
-1295.2953,0.89399964
-1291.2913,-24.418112
-1287.2872,-5.0945816
-1283.2833,-2.0623047
-1279.2793,33.2323
-1275.2753,2.2930083
-1271.2712,-9.431029
-1267.2672,-8.099203
-1263.2633,-5.375509
-1259.2593,22.268608
-1255.2552,5.3459477
-1251.2512,-8.5529785
-1247.2472,3.3339279
-1243.2433,27.029776
-1239.2393,4.902888
-1235.2352,0.31476903
-1231.2312,-6.411518
-1227.2272,-23.599781
-1223.2233,2.9443557
-1219.2192,5.3805776
-1215.2152,-13.054691
-1211.2112,-10.531474
-1207.2072,12.651434
-1203.2032,-6.125569
-1199.1992,-7.3648634
-1195.1952,-6.1549973
-1191.1912,-2.5268168
-1187.1871,11.381522
-1183.1832,2.8120973
-1179.1792,-12.95317
-1175.1752,13.205504
-1171.1711,7.0379353
-1167.1671,-4.9501247
-1163.1632,-9.088343
-1159.1592,10.210878
-1155.1552,-8.9711685
