X,Y
-2000.0,-1.124
-1995.996,-1.1217498
-1991.992,-1.1194994
-1987.988,-1.1172493
-1983.984,-1.114999
-1979.98,-1.1127487
-1975.976,-1.1104985
-1971.9719,-1.1082482
-1967.968,-1.105998
-1963.964,-1.1037477
-1959.96,-1.1014975
-1955.9559,-1.0992472
-1951.9519,-1.096997
-1947.948,-1.0947467
-1943.944,-1.0924965
-1939.94,-1.0902462
-1935.9359,-1.087996
-1931.9319,-1.0857457
-1927.928,-1.0834955
-1923.924,-1.0812453
-1919.9199,-1.078995
-1915.9159,-1.0767448
-1911.9119,-1.0744945
-1907.908,-1.0722443
-1903.9039,-1.069994
-1899.8999,-1.0677438
-1895.8959,-1.0654935
-1891.8918,-1.0632433
-1887.888,-1.060993
-1883.8839,-1.0587428
-1879.8799,-1.0564924
-1875.8759,-1.0542423
-1871.8718,-1.0519919
-1867.8679,-1.0497417
-1863.8639,-1.0474916
-1859.8599,-5.023127
-1855.8558,6.412167
-1851.8518,-1.0407407
-1847.8479,-1.0384905
-1843.8439,-1.0362402
-1839.8398,-1.03399
-1835.8358,-1.0317397
-1831.8318,-1.0294895
-1827.8279,-1.0272392
-1823.8239,-1.024989
-1819.8198,-1.0227387
-1815.8158,-1.0204885
-1811.8118,-1.0182382
-1807.8079,-1.015988
-1803.8038,-7.011629
-1799.7998,-1.0114875
-1795.7958,-1.0092373
-1791.7917,-1.006987
-1787.7878,-1.0047368
-1783.7838,-1.0024865
-1779.7798,-1.0002363
-1775.7758,-0.99798596
-1771.7717,-0.99573576
-1767.7678,-0.9934855
-1763.7638,-0.99123526
-1759.7598,-0.988985
-1755.7557,-0.98673475
-1751.7517,3.2895732
-1747.7478,-0.98223424
-1743.7438,-11.54443
-1739.7397,8.808371
-1735.7357,-0.9754835
-1731.7317,-0.9732332
-1727.7278,-0.97098297
-1723.7238,-0.9687327
-1719.7197,-0.96648246
-1715.7157,-0.9642322
-1711.7117,1.1388954
-1707.7078,-0.95973176
-1703.7037,-0.9574815
-1699.6997,-0.95523125
-1695.6957,-0.952981
-1691.6917,-0.95073074
-1687.6877,-0.9484805
-1683.6837,-0.94623023
-1679.6797,-0.94398
-1675.6757,-0.9417297
-1671.6716,-0.9394795
-1667.6677,-0.9372292
-1663.6637,-0.93497896
-1659.6597,-0.9327287
-1655.6556,-0.93047845
-1651.6516,-0.9282282
-1647.6477,-0.925978
-1643.6437,-0.92372775
-1639.6396,-0.9214775
-1635.6356,-0.91922724
-1631.6316,-0.916977
-1627.6277,-0.91472673
-1623.6237,-0.9124765
-1619.6196,-10.408919
-1615.6156,-0.907976
-1611.6116,-0.9057257
-1607.6077,-0.90347546
-1603.6036,-0.9012252
-1599.5996,-0.89897496
-1595.5956,-2.7886913
-1591.5916,-0.89447445
-1587.5876,-0.89222425
-1583.5836,-0.889974
-1579.5796,-0.88772374
-1575.5756,-0.8854735
-1571.5715,-0.88322324
-1567.5676,-0.880973
-1563.5636,-0.8787227
-1559.5596,-0.8764725
-1555.5555,-0.8742222
-1551.5515,-0.87197196
-1547.5476,-0.8697217
-1543.5436,-0.86747146
-1539.5396,-0.8652212
-1535.5355,-0.86297095
-1531.5315,-0.8607207
-1527.5276,-0.8584705
-1523.5236,-0.85622025
-1519.5195,-0.85397
-1515.5155,-0.85171974
-1511.5115,-0.8494695
-1507.5076,-0.8472192
-1503.5035,-0.844969
-1499.4995,-0.8427187
-1495.4955,-0.84046847
-1491.4915,-0.8382182
-1487.4874,-0.83596796
-1483.4835,-0.8337177
-1479.4795,-0.83146745
-1475.4755,-0.8292172
-1471.4714,-0.82696694
-1467.4674,-0.8247167
-1463.4635,7.494394
-1459.4595,-12.927467
-1455.4554,-0.817966
-1451.4514,-0.81571573
-1447.4474,-0.8134655
-1443.4435,-0.8112152
-1439.4395,-0.80896497
-1435.4354,-0.8067147
-1431.4314,-0.80446446
-1427.4274,-0.8022142
-1423.4235,-0.79996395
-1419.4194,-0.7977137
-1415.4154,-0.79546344
-1411.4114,-0.7932132
-1407.4073,-0.79096293
-1403.4034,-0.78871274
-1399.3994,-0.7864625
-1395.3954,-0.78421223
-1391.3914,-0.781962
-1387.3873,-0.7797117
-1383.3834,-0.77746147
-1379.3794,-0.7752112
-1375.3754,14.866547
-1371.3713,-0.7707107
-1367.3673,-0.76846045
-1363.3634,-0.7662102
-1359.3594,-0.76395994
-1355.3553,-0.7617097
-1351.3513,-0.75945944
-1347.3473,-0.7572092
-1343.3434,-0.754959
-1339.3394,-0.75270873
-1335.3353,-0.7504585
-1331.3313,-0.7482082
-1327.3273,-0.745958
-1323.3234,-0.7437077
-1319.3193,-0.74145746
-1315.3153,6.696195
-1311.3113,-0.73695695
-1307.3073,-0.7347067
-1303.3033,-0.73245645
-1299.2993,-0.7302062
-1295.2953,-0.72795594
-1291.2913,-0.7257057
-1287.2872,-0.7234554
-1283.2833,-0.72120523
-1279.2793,-0.718955
-1275.2753,-0.7167047
-1271.2712,-0.7144545
-1267.2672,-0.7122042
-1263.2633,-0.70995396
-1259.2593,-0.7077037
-1255.2552,-1.5483166
-1251.2512,-0.7032032
-1247.2472,-0.70095295
-1243.2433,-0.6987027
-1239.2393,-0.69645244
-1235.2352,-0.6942022
-1231.2312,-0.69195193
-1227.2272,-0.6897017
-1223.2233,-0.6874514
-1219.2192,-0.6852012
-1215.2152,-0.682951
-1211.2112,-0.6807007
-1207.2072,-0.67845047
-1203.2032,-0.6762002
-1199.1992,-0.67394996
-1195.1952,-0.6716997
-1191.1912,-0.66944945
-1187.1871,-0.6671992
-1183.1832,-0.66494894
-1179.1792,-0.6626987
-1175.1752,-0.66044843
-1171.1711,-0.6581982
-1167.1671,-0.6559479
-1163.1632,-0.65369767
-1159.1592,-0.6514475
