X,Y
-40.0,-9.99672
-1995.996,-12.434637
-1991.992,-10.703273
-1987.988,-12.27191
-1983.984,-11.740546
-1979.98,-12.509183
-1975.976,-11.77782
-1971.9719,-11.946457
-1967.968,-12.415093
-1963.964,-11.28373
-1959.96,-12.752366
-1955.9559,-11.221003
-1951.9519,-12.38964
-1947.948,-11.758276
-1943.944,-11.626913
-1939.94,-11.69555
-1935.9359,-11.564186
-1931.9319,-11.132823
-1927.928,-10.501459
-1923.924,-11.770096
-1919.9199,-9.838733
-1915.9159,-11.40737
-1911.9119,-11.276006
-1907.908,-10.744642
-1903.9039,-11.313279
-1899.8999,-11.881916
-1895.8959,-10.750552
-1891.8918,-11.119189
-1887.888,-11.087826
-1883.8839,-11.456463
-1879.8799,-11.325099
-1875.8759,-9.993735
-1871.8718,-10.362372
-1867.8679,-11.531009
-1863.8639,-9.599646
-1859.8599,-10.568282
-1855.8558,-10.936919
-1851.8518,-10.705556
-1847.8479,-10.974193
-1843.8439,-10.042829
-1839.8398,-11.911466
-1835.8358,-10.680102
-1831.8318,-10.648739
-1827.8279,-9.917376
-1823.8239,-10.886012
-1819.8198,-10.554648
-1815.8158,-10.523285
-1811.8118,-10.291922
-1807.8079,-9.3605585
-1803.8038,-11.429195
-1799.7998,-10.297832
-1795.7958,-10.366468
-1791.7917,-9.635105
-1787.7878,-11.103742
-1783.7838,-10.472379
-1779.7798,-10.241015
-1775.7758,-10.209652
-1771.7717,-10.578288
-1767.7678,-10.346925
-1763.7638,-10.515561
-1759.7598,-9.584198
-1755.7557,-10.452835
-1751.7517,-9.721472
-1747.7478,-9.9901085
-1743.7438,-9.958745
-1739.7397,-9.4273815
-1735.7357,-9.296018
-1731.7317,-9.264655
-1727.7278,-9.233292
-1723.7238,-10.601928
-1719.7197,-8.370564
-1715.7157,-9.839201
-1711.7117,-10.707838
-1707.7078,-8.676475
-1703.7037,-9.545111
-1699.6997,-9.513748
-1695.6957,-9.082384
-1691.6917,-9.551021
-1687.6877,-9.1196575
-1683.6837,-9.388294
-1679.6797,-9.256931
-1675.6757,-9.025568
-1671.6716,-9.4942045
-1667.6677,-9.362841
-1663.6637,-10.431478
-1659.6597,-10.100114
-1655.6556,-8.268751
-1651.6516,-8.137387
-1647.6477,-9.106024
-1643.6437,-8.974661
-1639.6396,-9.443297
-1635.6356,-8.911934
-1631.6316,-8.58057
-1627.6277,-8.849207
-1623.6237,-9.017844
-1619.6196,-8.38648
-1615.6156,-8.655117
-1611.6116,-8.723754
-1607.6077,-8.492391
-1603.6036,-8.561027
-1599.5996,-8.729664
-1595.5956,-8.8983
-1591.5916,-8.766937
-1587.5876,-8.535574
-1583.5836,-9.304211
-1579.5796,-8.472847
-1575.5756,-10.241484
-1571.5715,-7.6101203
-1567.5676,-8.178757
-1563.5636,-8.847393
-1559.5596,-8.01603
-1555.5555,-7.6846666
-1551.5515,-7.7533035
-1547.5476,-8.321939
-1543.5436,-8.290577
-1539.5396,-8.559214
-1535.5355,-8.62785
-1531.5315,-7.4964867
-1527.5276,-8.865123
-1523.5236,-9.03376
-1519.5195,-7.7023964
-1515.5155,-8.671033
-1511.5115,-7.4396696
-1507.5076,-8.708306
-1503.5035,-7.976943
-1499.4995,-7.64558
-1495.4955,-8.314217
-1491.4915,-8.182853
-1487.4874,-6.7514896
-1483.4835,-8.120126
-1479.4795,-8.888762
-1475.4755,-8.157399
-1471.4714,-8.226036
-1467.4674,-7.5946727
-1463.4635,-8.163309
