X,Y
-1420.0,3.1377494
-1995.996,-2.6765456
-1991.992,-1.807755
-1987.988,0.66954714
-1983.984,2.843709
-1979.98,-2.8583057
-1975.976,-0.9956689
-1971.9719,-2.6686525
-1967.968,1.792665
-1963.964,-5.3185487
-1959.96,-5.953497
-1955.9559,-6.350439
-1951.9519,-0.8571499
-1947.948,1.2489872
-1943.944,-3.8952
-1939.94,-3.6127791
-1935.9359,-2.2484462
-1931.9319,-3.9242604
-1927.928,-2.209586
-1923.924,0.35753044
-1919.9199,-5.796177
-1915.9159,2.2677085
-1911.9119,-1.081549
-1907.908,2.8895957
-1903.9039,-6.079909
-1899.8999,0.07149974
-1895.8959,0.14129277
-1891.8918,-6.5952287
-1887.888,-6.0174975
-1883.8839,3.398542
-1879.8799,-2.2357864
-1875.8759,-2.4057276
-1871.8718,-3.3550496
-1867.8679,-3.822786
-1863.8639,1.3598733
-1859.8599,-6.136579
-1855.8558,-6.113287
-1851.8518,-5.170629
-1847.8479,3.3955112
-1843.8439,1.17465
-1839.8398,1.842925
-1835.8358,-0.2137645
-1831.8318,-5.9753103
-1827.8279,-0.7241044
-1823.8239,-0.047602646
-1819.8198,2.5080516
-1815.8158,-5.2648826
-1811.8118,2.5294464
-1807.8079,-6.2708807
-1803.8038,-2.9444535
-1799.7998,-4.5796885
-1795.7958,-3.5143394
-1791.7917,-5.646995
-1787.7878,-4.9620986
-1783.7838,2.0333931
-1779.7798,-2.428534
-1775.7758,3.0825994
-1771.7717,-1.7443476
-1767.7678,2.321191
-1763.7638,-5.384163
-1759.7598,-2.4518912
-1755.7557,-5.620127
-1751.7517,3.6178327
-1747.7478,2.2357278
-1743.7438,-3.9908078
-1739.7397,-5.142525
-1735.7357,-2.993515
-1731.7317,-1.7264248
-1727.7278,-6.3047748
-1723.7238,-2.170114
-1719.7197,-6.3408227
-1715.7157,2.7520716
-1711.7117,1.5985395
-1707.7078,1.6028295
-1703.7037,-1.2542493
-1699.6997,-2.029076
-1695.6957,-1.5437652
-1691.6917,2.457883
-1687.6877,2.0020747
-1683.6837,-2.3539603
-1679.6797,-2.3938158
-1675.6757,-3.2536879
-1671.6716,0.00553378
-1667.6677,0.21298197
-1663.6637,-1.376551
-1659.6597,0.03485754
-1655.6556,3.13096
-1651.6516,-1.4245969
-1647.6477,-0.13476509
-1643.6437,-0.58437294
-1639.6396,0.33618394
-1635.6356,-4.8867674
-1631.6316,-1.3988614
-1627.6277,-5.648511
-1623.6237,1.1904075
-1619.6196,3.2045462
-1615.6156,-2.6465487
-1611.6116,-4.339866
-1607.6077,-1.749472
-1603.6036,1.6433513
-1599.5996,-0.39985347
-1595.5956,1.8830541
-1591.5916,-1.2481209
-1587.5876,-3.2718475
-1583.5836,-3.2257543
-1579.5796,-4.7523
-1575.5756,-2.9828548
-1571.5715,-5.7739615
-1567.5676,1.6337132
-1563.5636,-2.6664839
-1559.5596,0.7616492
-1555.5555,1.6160008
-1551.5515,-4.9818187
-1547.5476,1.2062746
-1543.5436,-2.315646
-1539.5396,-5.302214
-1535.5355,0.4039391
-1531.5315,3.231858
-1527.5276,-3.9841568
-1523.5236,-2.184436
-1519.5195,3.6453967
-1515.5155,-0.09790269
-1511.5115,3.222901
-1507.5076,-4.363928
-1503.5035,-6.0035024
-1499.4995,0.53427184
-1495.4955,-5.5112767
-1491.4915,-1.8754662
-1487.4874,3.045401
-1483.4835,-5.934389
-1479.4795,2.9385457
-1475.4755,-0.8807479
-1471.4714,-0.6051239
-1467.4674,0.113862254
-1463.4635,0.08292503
-1459.4595,0.9869297
-1455.4554,-3.6608505
-1451.4514,-0.89628035
-1447.4474,3.5667875
-1443.4435,-3.6988926
-1439.4395,4.0370455
-1435.4354,-5.0654964
-1431.4314,3.258326
-1427.4274,-4.4905267
-1423.4235,-5.8296776
-1419.4194,-3.7549617
-1415.4154,-5.6557527
-1411.4114,-0.18380882
-1407.4073,-0.84348613
-1403.4034,3.0239875
-1399.3994,-2.7304058
-1395.3954,0.5720383
-1391.3914,3.6391606
-1387.3873,-0.68849087
-1383.3834,-0.13186295
-1379.3794,-2.8922157
-1375.3754,2.3736622
-1371.3713,-2.0236697
-1367.3673,1.4715319
-1363.3634,-5.3272
-1359.3594,4.039452
-1355.3553,-1.1541834
-1351.3513,2.1610918
-1347.3473,3.6594875
-1343.3434,-3.8376875
-1339.3394,-1.7554145
-1335.3353,-4.795785
-1331.3313,-4.9105945
-1327.3273,1.1886781
-1323.3234,-5.163191
-1319.3193,-1.9424357
-1315.3153,-4.0391283
-1311.3113,-0.13045534
-1307.3073,-4.389493
-1303.3033,3.501271
-1299.2993,2.0991025
-1295.2953,-4.0981627
-1291.2913,-5.4526415
-1287.2872,-2.1670835
-1283.2833,-1.2848749
-1279.2793,-5.510874
-1275.2753,-1.2627066
-1271.2712,1.5711411
-1267.2672,-2.387565
-1263.2633,-5.3699937
-1259.2593,-2.4946005
-1255.2552,3.7430131
-1251.2512,-4.651673
-1247.2472,4.181972
-1243.2433,-2.183386
-1239.2393,-1.7687774
-1235.2352,2.2274277
-1231.2312,2.2200716
-1227.2272,-4.0693545
-1223.2233,-2.4931371
-1219.2192,-2.5427163
-1215.2152,1.0223352
-1211.2112,2.1374462
-1207.2072,-4.1852336
-1203.2032,-5.0247974
-1199.1992,-2.6856685
-1195.1952,1.8018073
-1191.1912,0.62160385
-1187.1871,-2.9845846
-1183.1832,-5.337302
-1179.1792,-0.58132577
-1175.1752,-2.46593
-1171.1711,-2.0727813
-1167.1671,-0.9835571
-1163.1632,-0.6332609
-1159.1592,-0.16429581
-1155.1552,1.0776373
-1151.1511,-0.30252245
-1147.1471,-3.5048592
-1143.1432,1.0244143
-1139.1392,1.4855052
-1135.1351,3.0488567
-1131.1311,-0.08693047
-1127.1271,-0.993429
-1123.1232,-1.74927
-1119.1191,1.2611098
-1115.1151,3.4828749
-1111.1111,0.7664556
-1107.107,-0.5619121
-1103.1031,-2.1536462
-1099.0991,-4.857551
-1095.0951,-0.5872643
-1091.0911,3.336874
-1087.087,2.5959883
-1083.0831,-2.0958283
-1079.0791,3.926948
-1075.0751,-1.9156667
-1071.071,-3.764499
-1067.067,3.2780068
-1063.0631,-5.353485
-1059.0591,-1.3767343
-1055.055,2.411414
-1051.051,-1.8441287
-1047.047,-3.8427782
-1043.0431,4.1934314
-1039.0391,2.1331983
-1035.035,-3.2314823
-1031.031,-3.9166827
-1027.027,-1.8233917
-1023.023,2.4223442
-1019.01904,3.818682
-1015.015,-2.1585097
-1011.011,0.799295
-1007.007,-2.8841715
-1003.003,-2.0216873
-998.999,3.5407462
-994.995,1.8932414
-990.99097,-5.284861
-986.987,1.6879107
-982.983,-0.5729243
-978.979,-5.268524
-974.975,-0.4649235
-970.97095,3.6414907
-966.967,-0.6355889
-962.96295,1.5240604
-958.959,-2.791532
-954.95496,3.2654352
-950.9509,0.52197874
-946.94696,1.3097934
-942.94293,1.2560232
-938.93896,-3.5334797
-934.93494,-0.10315477
-930.9309,-3.119682
-926.92694,-5.38782
-922.9229,-2.9282205
-918.91895,-1.1961545
-914.9149,4.7310486
-910.9109,0.09382259
-906.9069,-3.6417143
-902.9029,0.87370646
-898.8989,-4.035028
-894.8949,4.6050134
-890.89087,-4.76322
-886.8869,-2.5584822
-882.8829,-0.1987264
-878.8789,-1.2674128
-874.8749,3.96106
-870.87085,1.3087425
-866.8669,-1.2690481
-862.86285,2.6542282
-858.8589,-2.8753393
-854.85486,-5.1492953
-850.8508,-2.2289824
-846.84686,2.914527
-842.84283,1.4075583
-838.83887,0.9021774
-834.83484,1.2714392
-830.8308,-1.3749386
-826.82684,4.9197764
-822.8228,-0.7287368
-818.81885,-3.2905233
-814.8148,-0.04323642
-810.8108,-2.9789467
-806.8068,-2.4648015
-802.8028,1.2543409
-798.7988,-1.508325
-794.7948,0.921536
-790.7908,-4.8121247
-786.7868,0.8489005
-782.7828,0.23688997
-778.7788,3.4675064
-774.7748,3.15266
-770.77075,-0.98487264
-766.7668,2.248808
-762.76276,3.9799333
-758.7588,3.8300962
-754.75476,-4.954265
-750.75073,2.402469
-746.74677,0.48669305
-742.74274,-4.7120914
-738.7387,4.3684845
-734.73474,-1.9118202
-730.7307,-3.7271223
-726.72675,1.9762945
-722.7227,-4.986118
-718.7187,2.9921446
-714.7147,-2.4863455
-710.7107,0.7166058
-706.7067,-4.2602577
-702.7027,-2.1556833
-698.69867,2.9955103
-694.6947,-4.6962585
-690.6907,2.9082284
-686.6867,-3.8144464
-682.6827,-3.61008
-678.67865,0.5910633
-674.6747,1.5434794
-670.67065,0.19613625
-666.6667,4.621902
-662.66266,-3.99671
-658.6586,-4.293576
-654.65466,1.479229
-650.65063,-3.2157905
-646.64667,-4.4740415
-642.64264,4.9530096
-638.6386,3.2076583
-634.63464,-4.2360835
-630.6306,4.9483967
-626.62665,4.055758
-622.6226,2.4627874
-618.6186,0.41641232
-614.6146,1.1213546
-610.6106,1.0653068
-606.6066,-4.653737
-602.6026,-2.005359
-598.5986,-2.3747578
-594.5946,-3.3360305
-590.5906,-4.0538745
-586.5866,0.35258526
-582.5826,0.0006721605
-578.57855,2.5179572
-574.5746,4.344464
-570.57056,5.158264
-566.5666,5.343691
-562.56256,-1.0802544
-558.55853,3.5682597
-554.55457,-3.8399117
-550.55054,-0.83408016
-546.5466,-4.1096306
-542.54254,1.4027442
-538.5385,-4.217921
-534.53455,-3.076948
-530.5305,-3.7965953
-526.52655,-1.2502832
-522.5225,2.497405
-518.5185,0.31145155
-514.5145,2.2796571
-510.5105,4.9343367
-506.5065,-3.2321167
-502.5025,0.4333492
-498.4985,2.858458
-494.4945,0.4538786
-490.49048,3.6172793
-486.48648,-3.3365505
-482.48248,2.2106488
-478.4785,0.42685786
-474.4745,5.51318
-470.47046,3.2309244
-466.46646,-3.4005814
-462.46246,1.252468
-458.45847,4.2615166
-454.45447,-1.8022225
-450.45044,1.5785801
-446.44644,-1.491888
-442.44244,3.2628617
-438.43845,0.86877376
-434.43445,0.9284257
-430.43042,-2.7120013
-426.42642,1.8841848
-422.42242,-3.4314084
-418.41843,1.7736218
-414.41443,-4.2134933
-410.4104,4.05526
-406.4064,-0.17978606
-402.4024,1.4401599
-398.3984,0.5432295
-394.3944,1.6619604
-390.39038,0.7739046
-386.38638,4.6958013
-382.3824,2.50183
-378.3784,1.0940567
-374.37436,-3.3540924
-370.37036,-1.2204342
-366.36636,4.990471
-362.36237,-3.269325
-358.35837,3.1993985
-354.35434,0.84589195
-350.35034,4.3847456
-346.34634,2.246028
-342.34235,2.5928254
-338.33835,1.7319915
-334.33432,-2.8971329
-330.33032,0.4856405
-326.32632,0.93137246
-322.32233,1.5638039
-318.31833,0.71679866
-314.3143,5.2223744
-310.3103,-2.1909325
-306.3063,-0.2938814
-302.3023,0.37585747
-298.2983,-0.0052097593
-294.29428,4.6366196
-290.29028,-1.4645624
-286.2863,5.728133
-282.2823,2.4449632
-278.2783,-4.22335
-274.27426,0.9761345
-270.27026,4.297811
-266.26627,1.7660496
-262.26227,-3.6045601
-258.25827,-0.25641876
-254.25426,-4.4448752
-250.25024,4.346731
-246.24625,-4.3768973
-242.24225,-3.6695628
-238.23824,5.244883
-234.23424,-3.5519576
-230.23022,5.6621695
-226.22623,0.008038983
-222.22223,2.4124296
-218.21822,1.0496353
-214.21422,4.208351
-210.2102,2.124894
-206.2062,0.89734143
-202.20221,0.10402641
-198.1982,-2.4558706
-194.1942,1.2557405
-190.19019,2.8511567
-186.18619,4.7020006
-182.18217,0.53874815
-178.17818,5.0856
-174.17418,4.4803953
-170.17017,4.7122664
-166.16617,0.38174254
-162.16216,-1.8881407
-158.15816,-3.4766939
-154.15416,-3.3434258
-150.15015,2.1159554
-146.14615,-0.96110964
-142.14214,-1.6476744
-138.13814,4.9619193
-134.13414,-0.060530413
-130.13013,-2.4558308
-126.12613,-2.2587402
-122.12212,4.6474085
-118.11812,-1.2327169
-114.11411,-3.707056
-110.11011,5.2106686
-106.10611,-0.6079931
-102.102104,-4.1218166
-98.0981,0.866097
-94.09409,1.2236819
-90.09009,0.7503772
-86.08608,-4.156545
-82.082085,4.3843684
-78.07808,5.282797
-74.07407,2.0090997
-70.07007,4.766009
-66.06606,-3.9706664
-62.06206,-3.5112288
-58.05806,-0.76718193
-54.054054,-2.9291027
-50.05005,5.7849183
-46.046047,-1.2734827
-42.04204,4.3184977
-38.038036,2.6722636
-34.034035,0.25842094
-30.03003,-2.7030008
-26.026026,-4.0630097
-22.022022,3.491006
-18.018019,-3.1275294
-14.014014,1.2904382
-10.01001,3.808648
-6.0060062,3.8410356
-2.002002,-0.46855143
2.002002,0.5262034
6.0060062,4.0210605
10.01001,-2.5636563
14.014014,4.7683167
18.018019,-3.7826736
22.022022,5.3418097
26.026026,2.7889366
30.03003,5.5506773
34.034035,-3.0666769
38.038036,-0.23815551
42.04204,-0.5699311
46.046047,-1.8524537
50.05005,1.3120588
54.054054,3.5882497
58.05806,4.07658
62.06206,-1.4297178
66.06606,2.790279
70.07007,0.1604065
74.07407,2.6143796
78.07808,-0.085064374
82.082085,2.903227
86.08608,-0.40502515
90.09009,-3.3886435
94.09409,2.0006704
98.0981,1.554851
102.102104,2.065908
106.10611,2.8181298
110.11011,3.091264
114.11411,2.0320842
118.11812,0.93762827
122.12212,0.4615371
126.12613,0.86508113
130.13013,-3.1038876
134.13414,5.6863313
138.13814,0.6349683
142.14214,-2.9335337
146.14615,5.805302
150.15015,-3.630327
154.15416,-3.3185532
158.15816,-3.0428784
162.16216,4.5386596
166.16617,2.8971236
170.17017,-3.2803931
174.17418,1.5475519
178.17818,-0.84415686
182.18217,4.999645
186.18619,1.4166336
190.19019,-1.5746211
194.1942,-0.13280432
198.1982,1.779338
202.20221,0.03773033
206.2062,4.1270003
210.2102,0.852681
214.21422,0.3519917
218.21822,-2.9368
222.22223,3.7742395
226.22623,4.1144757
230.23022,-3.6532426
