X,Y
-2000.0,-4.076
-1995.996,-4.0678396
-1991.992,-1.7629807
-1987.988,-4.0515194
-1983.984,-4.0433593
-1979.98,-4.035199
-1975.976,-4.027039
-1971.9719,-4.018879
-1967.968,-4.010719
-1963.964,-4.0025587
-1959.96,-3.9943984
-1955.9559,-3.9862382
-1951.9519,-3.9780781
-1947.948,-3.969918
-1943.944,-3.9617577
-1939.94,-3.9535975
-1935.9359,-3.9454374
-1931.9319,-3.9372773
-1927.928,-3.9291172
-1923.924,-3.9209569
-1919.9199,-3.9127967
-1915.9159,-3.9046366
-1911.9119,-3.8964765
-1907.908,-3.8883164
-1903.9039,-3.880156
-1899.8999,-3.871996
-1895.8959,-3.8638358
-1891.8918,-3.8556757
-1887.888,-3.8475156
-1883.8839,-3.8393555
-1879.8799,-1.2812365
-1875.8759,-3.823035
-1871.8718,-3.814875
-1867.8679,-3.8067148
-1863.8639,-3.7985547
-1859.8599,-3.7903943
-1855.8558,-2.9739919
-1851.8518,-3.774074
-1847.8479,-3.765914
-1843.8439,-3.7577538
-1839.8398,-3.7495935
-1835.8358,-3.7414334
-1831.8318,-3.7332733
-1827.8279,-3.7251132
-1823.8239,-3.716953
-1819.8198,-3.7087927
-1815.8158,-3.7006326
-1811.8118,-3.6924725
-1807.8079,-3.6843123
-1803.8038,-4.6516223
-1799.7998,-3.6679919
-1795.7958,-3.6598318
-1791.7917,-3.6516716
-1787.7878,-3.6435115
-1783.7838,-3.6353514
-1779.7798,-3.6271913
-1775.7758,-3.619031
-1771.7717,-3.6108708
-1767.7678,-4.011293
-1763.7638,-3.5945506
-1759.7598,-3.5863905
-1755.7557,-3.5782301
-1751.7517,-3.57007
-1747.7478,-3.56191
-1743.7438,-3.5537498
-1739.7397,-3.5455897
-1735.7357,-3.5374293
-1731.7317,-3.5292692
-1727.7278,-3.521109
-1723.7238,-3.512949
-1719.7197,-3.5047889
-1715.7157,-3.4966285
-1711.7117,-3.4884684
-1707.7078,-3.4803083
-1703.7037,-3.4721482
-1699.6997,-3.463988
-1695.6957,-3.4558277
-1691.6917,-3.4476676
-1687.6877,-3.4395075
-1683.6837,-3.4313474
-1679.6797,-4.8459153
-1675.6757,-3.4150271
-1671.6716,-3.4068668
-1667.6677,-3.3987067
-1663.6637,-0.6347066
-1659.6597,-3.3823864
-1655.6556,-3.3742263
-1651.6516,-3.366066
-1647.6477,-3.3579059
-1643.6437,-3.3497458
-1639.6396,-3.3415856
-1635.6356,-3.3334255
-1631.6316,-3.3252652
-1627.6277,-3.317105
-1623.6237,-3.308945
-1619.6196,-3.3007848
-1615.6156,-3.2926247
-1611.6116,-3.2844644
-1607.6077,-3.2763042
-1603.6036,-3.2681441
-1599.5996,-3.259984
-1595.5956,-3.251824
-1591.5916,-3.2436635
-1587.5876,-3.2355034
-1583.5836,-3.2273433
-1579.5796,-3.2191832
-1575.5756,-3.211023
-1571.5715,-3.202863
-1567.5676,-3.1947026
-1563.5636,-3.1865425
-1559.5596,-3.1783824
-1555.5555,-3.1702223
-1551.5515,-3.1620622
-1547.5476,-3.1539018
-1543.5436,-3.1457417
-1539.5396,-3.1375816
-1535.5355,-3.1294215
-1531.5315,-3.1212614
-1527.5276,-3.113101
-1523.5236,-3.104941
-1519.5195,-3.0967808
-1515.5155,-3.0886207
-1511.5115,-5.2864532
-1507.5076,-3.0723002
-1503.5035,-3.06414
-1499.4995,-3.05598
-1495.4955,-3.0478199
