X,Y
-2000.0,10.384
-1959.596,-5.698505
-1919.1919,-5.58101
-1878.7878,-5.4635153
-1838.3838,-5.34602
-1797.9799,-5.228525
-1757.5758,-5.11103
-1717.1718,-4.9935355
-1676.7677,-4.8760405
-1636.3636,-4.7585454
-1595.9596,13.958949
-1555.5555,10.776444
-1515.1515,-4.4060607
-1474.7474,12.911434
-1434.3434,-4.1710706
-1393.9395,-4.053576
-1353.5354,-3.9360807
-1313.1313,13.481414
-1272.7273,-3.7010908
-1232.3232,-3.583596
-1191.9192,13.033899
-1151.5151,-3.348606
-1111.1111,-3.231111
-1070.707,-3.1136162
-1030.303,-2.9961212
-989.899,-2.8786263
-949.49493,-2.7611313
-909.0909,13.1563635
-868.6869,-2.5261414
-828.28284,-2.4086466
-787.8788,-2.2911515
-747.47473,14.126344
-707.0707,-2.0561616
-666.6667,-1.9386667
-626.26263,11.678828
-585.8586,-1.7036768
-545.4545,-1.5861818
-505.0505,14.231313
-464.64645,-1.3511919
-424.24243,-1.2336969
-383.83838,14.983798
-343.43436,-0.99870706
-303.0303,-0.8812121
-262.62625,-0.7637172
-222.22223,-0.64622223
-181.81818,-0.5287273
-141.41414,-0.41123232
-101.0101,-0.29373738
-60.60606,-0.17624243
-20.20202,14.741253
20.20202,0.058747474
60.60606,0.17624243
101.0101,0.29373738
141.41414,0.41123232
181.81818,17.628727
222.22223,17.846222
262.62625,0.7637172
303.0303,0.8812121
343.43436,0.99870706
383.83838,1.116202
424.24243,1.2336969
464.64645,1.3511919
505.0505,1.4686868
545.4545,1.5861818
585.8586,1.7036768
626.26263,1.8211718
666.6667,1.9386667
707.0707,2.0561616
747.47473,2.1736565
787.8788,2.2911515
828.28284,18.308647
868.6869,2.5261414
909.0909,2.6436365
949.49493,2.7611313
989.899,20.378626
1030.303,2.9961212
1070.707,17.113617
1111.1111,3.231111
1151.5151,3.348606
1191.9192,3.466101
1232.3232,21.183596
1272.7273,3.7010908
1313.1313,3.8185859
1353.5354,3.9360807
1393.9395,4.053576
1434.3434,4.1710706
1474.7474,4.2885656
1515.1515,21.60606
1555.5555,4.5235558
1595.9596,4.6410503
1636.3636,4.7585454
1676.7677,4.8760405
1717.1718,4.9935355
1757.5758,5.11103
1797.9799,22.128525
1838.3838,5.34602
1878.7878,5.4635153
1919.1919,5.58101
1959.596,5.698505
2000.0,5.816
