X,Y
-2000.0,-671.2
-1979.8995,-664.4543
-1959.799,-657.70856
-1939.6985,-650.9628
-1919.598,-644.2171
-1899.4974,-637.4714
-1879.397,-630.72565
-1859.2965,-623.9799
-1839.1959,-617.2342
-1819.0955,-610.48846
-1798.995,-603.74274
-1778.8945,-596.997
-1758.794,-590.2513
-1738.6935,-583.50555
-1718.593,-576.7598
-1698.4924,-869.4612
-1678.392,-563.2684
-1658.2915,-556.5226
-1638.1909,-549.77686
-1618.0905,-543.0311
-1597.99,-536.2854
-1577.8894,-529.5397
-1557.789,-522.79395
-1537.6885,-516.0482
-1517.5879,-509.30252
-1497.4874,-502.5568
-1477.387,-495.81107
-1457.2864,-489.06534
-1437.1859,-482.3196
-1417.0854,-475.57388
-1396.985,-468.82816
-1376.8844,-462.0824
-1356.7839,-455.33667
-1336.6835,-448.59094
-1316.5829,-441.8452
-1296.4824,-435.0995
-1276.382,-428.35376
-1256.2814,-421.60803
-1236.1809,-414.8623
-1216.0804,-408.11658
-1195.9799,-401.37085
-1175.8794,-394.62512
-1155.7789,-387.8794
-1135.6783,-381.13367
-1115.5779,-374.38794
-1095.4774,-367.6422
-1075.3768,-360.89648
-1055.2764,-354.15076
-1035.1759,-347.40503
-1015.0754,-340.6593
-994.97485,-333.91357
-974.8744,-327.16785
-954.77386,-320.42212
-934.67334,-313.6764
-914.5729,-306.93066
-894.47235,-300.18494
-874.3719,-293.4392
-854.27136,-159.49428
-834.17084,-279.94775
-814.0704,-273.202
-793.96985,-266.45627
-773.8693,-259.71054
-753.76886,-252.96483
-733.66833,-246.2191
-713.5678,-239.47337
-693.46735,-232.72763
-673.3668,-225.9819
-653.26636,-219.23618
-633.16583,-212.49045
-613.0653,-205.74472
-592.96484,-198.999
-572.8643,-192.25327
-552.7638,-185.50754
-532.6633,-178.76181
-512.5628,-172.01608
-492.4623,-165.27036
-472.36182,-158.52463
-452.2613,-151.7789
-432.1608,-145.03317
-412.0603,-138.28743
-391.9598,-131.5417
-371.85928,-124.79598
-351.7588,-118.050255
-331.6583,-111.30452
-311.5578,-104.55879
-291.45728,-97.813065
-271.35678,-91.06734
-251.25629,-190.74171
-231.15578,-77.57588
-211.05528,-70.830154
-190.95477,-64.08442
-170.85428,-57.33869
-150.75377,-50.592964
-130.65326,-43.847237
-110.552765,-37.10151
-90.45226,-30.35578
-70.35176,-23.61005
-50.251255,-16.86432
-30.150753,-10.118593
-10.050251,-3593.2563
10.050251,3.3728642
30.150753,10.118593
50.251255,16.86432
70.35176,23.61005
90.45226,30.35578
110.552765,37.10151
130.65326,43.847237
150.75377,50.592964
170.85428,600.43884
190.95477,64.08442
211.05528,70.830154
231.15578,77.57588
251.25629,84.32161
271.35678,91.06734
291.45728,97.813065
311.5578,104.55879
331.6583,-102.74658
351.7588,118.050255
371.85928,124.79598
391.9598,131.5417
412.0603,138.28743
432.1608,145.03317
452.2613,151.7789
472.36182,158.52463
492.4623,165.27036
512.5628,172.01608
532.6633,-637.67914
552.7638,185.50754
572.8643,192.25327
592.96484,198.999
613.0653,205.74472
633.16583,212.49045
653.26636,219.23618
673.3668,225.9819
693.46735,335.2441
713.5678,239.47337
733.66833,246.2191
753.76886,252.96483
773.8693,259.71054
793.96985,266.45627
814.0704,273.202
834.17084,279.94775
854.27136,286.69348
874.3719,293.4392
894.47235,300.18494
914.5729,306.93066
934.67334,313.6764
954.77386,320.42212
974.8744,327.16785
994.97485,333.91357
1015.0754,340.6593
1035.1759,347.40503
1055.2764,354.15076
1075.3768,360.89648
1095.4774,367.6422
1115.5779,273.50247
1135.6783,381.13367
1155.7789,387.8794
1175.8794,394.62512
1195.9799,401.37085
1216.0804,408.11658
1236.1809,414.8623
1256.2814,421.60803
1276.382,428.35376
1296.4824,435.0995
1316.5829,441.8452
1336.6835,448.59094
1356.7839,455.33667
1376.8844,462.0824
1396.985,468.82816
1417.0854,475.57388
1437.1859,1020.72095
1457.2864,489.06534
1477.387,495.81107
1497.4874,502.5568
1517.5879,509.30252
1537.6885,516.0482
1557.789,522.79395
1577.8894,529.5397
1597.99,536.2854
1618.0905,543.0311
1638.1909,549.77686
1658.2915,556.5226
1678.392,563.2684
1698.4924,570.0141
1718.593,576.7598
1738.6935,583.50555
1758.794,590.2513
1778.8945,596.997
1798.995,603.74274
1819.0955,610.48846
1839.1959,617.2342
1859.2965,623.9799
1879.397,630.72565
1899.4974,637.4714
1919.598,644.2171
1939.6985,650.9628
1959.799,657.70856
1979.8995,664.4543
2000.0,671.2
