X,Y
-2000.0,-1973.2
-1979.8995,-1953.3689
-1959.799,-1933.5377
-1939.6985,-1913.7065
-1919.598,-1893.8754
-1899.4974,-1874.0442
-1879.397,-1854.213
-1859.2965,-1834.382
-1839.1959,-1814.5508
-1819.0955,-1794.7196
-1798.995,-1774.8884
-1778.8945,-1755.0573
-1758.794,-1735.2261
-1738.6935,-1715.395
-1718.593,-1695.5638
-1698.4924,-1818.363
-1678.392,-1655.9015
-1658.2915,-1636.0703
-1638.1909,-1616.2391
-1618.0905,-1596.4081
-1597.99,-1576.5769
-1577.8894,-1556.7457
-1557.789,-1536.9146
-1537.6885,-1479.892
-1517.5879,-1497.2523
-1497.4874,-1477.4211
-1477.387,-1457.59
-1457.2864,-1437.7588
-1437.1859,-1417.9276
-1417.0854,-1398.0964
-1396.985,-779.7893
-1376.8844,-1358.4342
-1356.7839,-1338.603
-1336.6835,-1318.7719
-1316.5829,-1457.7963
-1296.4824,-1279.1095
-1276.382,-1259.2784
-1256.2814,-1239.4473
-1236.1809,-1219.6161
-1216.0804,-1199.7849
-1195.9799,-1179.9537
-1175.8794,-1160.1226
-1155.7789,-1140.2915
-1135.6783,-1120.4603
-1115.5779,-1100.6292
-1095.4774,-1080.798
-1075.3768,-1060.9668
-1055.2764,-1041.1356
-1035.1759,-1021.3045
-1015.0754,-1001.4734
-994.97485,-981.6422
-974.8744,-961.81104
-954.77386,-941.9799
-934.67334,-922.14874
-914.5729,-902.31757
-894.47235,-882.48645
-874.3719,-862.6553
-854.27136,-842.8241
-834.17084,-822.993
-814.0704,-803.1618
-793.96985,-783.3306
-773.8693,-763.4995
-753.76886,-743.66833
-733.66833,-723.83716
-713.5678,-704.00604
-693.46735,-684.17487
-673.3668,-664.3437
-653.26636,-644.5126
-633.16583,-624.6814
-613.0653,-604.8503
-592.96484,-585.0191
-572.8643,-565.1879
-552.7638,-545.3568
-532.6633,-525.52563
-512.5628,-505.69446
-492.4623,-485.8633
-472.36182,-466.03217
-452.2613,-446.20102
-432.1608,-426.36984
-412.0603,-406.5387
-391.9598,-386.70755
-371.85928,-366.87637
-351.7588,-347.04523
-331.6583,-327.21408
-311.5578,-307.3829
-291.45728,-400.00128
-271.35678,-267.7206
-251.25629,-247.88945
-231.15578,-228.05829
-211.05528,-208.22714
-190.95477,-188.39598
-170.85428,-168.56482
-150.75377,-148.73367
-130.65326,-128.90251
-110.552765,-109.07136
-90.45226,-89.240204
-70.35176,-69.40904
-50.251255,-49.57789
-30.150753,-547.73663
-10.050251,-9.915578
10.050251,9.915578
30.150753,29.746735
50.251255,49.57789
70.35176,69.40904
90.45226,89.240204
110.552765,109.07136
130.65326,128.90251
150.75377,148.73367
170.85428,168.56482
190.95477,-26.724653
211.05528,208.22714
231.15578,228.05829
251.25629,247.88945
271.35678,267.7206
291.45728,287.55176
311.5578,307.3829
331.6583,327.21408
351.7588,347.04523
371.85928,366.87637
391.9598,386.70755
412.0603,406.5387
432.1608,426.36984
452.2613,446.20102
472.36182,466.03217
492.4623,485.8633
512.5628,505.69446
532.6633,525.52563
552.7638,545.3568
572.8643,565.1879
592.96484,585.0191
613.0653,604.8503
633.16583,1027.3688
653.26636,644.5126
673.3668,664.3437
693.46735,684.17487
713.5678,704.00604
733.66833,723.83716
753.76886,743.66833
773.8693,763.4995
793.96985,783.3306
814.0704,1266.5986
834.17084,822.993
854.27136,842.8241
874.3719,862.6553
894.47235,882.48645
914.5729,902.31757
934.67334,922.14874
954.77386,941.9799
974.8744,961.81104
994.97485,981.6422
1015.0754,1001.4734
1035.1759,1021.3045
1055.2764,1041.1356
1075.3768,1060.9668
1095.4774,1080.798
1115.5779,1100.6292
1135.6783,1120.4603
1155.7789,1140.2915
1175.8794,1160.1226
1195.9799,1179.9537
1216.0804,1199.7849
1236.1809,1219.6161
1256.2814,1594.4668
1276.382,1259.2784
1296.4824,1279.1095
1316.5829,1298.9407
1336.6835,1318.7719
1356.7839,1338.603
1376.8844,1358.4342
1396.985,1378.2654
1417.0854,1398.0964
1437.1859,1417.9276
1457.2864,1437.7588
1477.387,1457.59
1497.4874,1477.4211
1517.5879,1497.2523
1537.6885,1517.0834
1557.789,1536.9146
1577.8894,1556.7457
1597.99,1576.5769
1618.0905,1596.4081
1638.1909,1616.2391
1658.2915,1636.0703
1678.392,1655.9015
1698.4924,1675.7327
1718.593,1695.5638
1738.6935,1715.395
1758.794,1735.2261
1778.8945,1755.0573
1798.995,1774.8884
1819.0955,1794.7196
1839.1959,1814.5508
1859.2965,1834.382
1879.397,1854.213
1899.4974,1874.0442
1919.598,1893.8754
1939.6985,1913.7065
1959.799,1933.5377
1979.8995,1953.3689
2000.0,1973.2
