X,Y
-2000.0,-624.9472
-1979.8995,-627.0342
-1959.799,-620.66833
-1939.6985,-614.3025
-1919.598,-607.9367
-1899.4974,-601.57086
-1879.397,-595.205
-1859.2965,-588.8392
-1839.1959,-582.4734
-1819.0955,-576.10754
-1798.995,-569.7417
-1778.8945,-563.37585
-1758.794,-557.0101
-1738.6935,-550.6442
-1718.593,-544.2784
-1698.4924,-537.91254
-1678.392,-531.54675
-1658.2915,-525.1809
-1638.1909,-518.81506
-1618.0905,-512.4492
-1597.99,-506.0834
-1577.8894,-499.7176
-1557.789,-493.35175
-1537.6885,-486.98593
-1517.5879,-480.6201
-1497.4874,-474.25427
-1477.387,-467.88843
-1457.2864,-461.5226
-1437.1859,-455.15677
-1417.0854,-448.79095
-1396.985,-442.42514
-1376.8844,-436.0593
-1356.7839,-429.69348
-1336.6835,-423.32764
-1316.5829,-416.96182
-1296.4824,-410.59598
-1276.382,-404.23016
-1256.2814,-397.86432
-1236.1809,-391.4985
-1216.0804,-385.13266
-1195.9799,-378.76685
-1175.8794,-372.401
-1155.7789,-366.0352
-1135.6783,-186.10362
-1115.5779,-353.30353
-1095.4774,-346.93768
-1075.3768,-340.57187
-1055.2764,-334.20602
-1035.1759,-327.8402
-1015.0754,-321.47437
-994.97485,-567.39246
-974.8744,-308.7427
-954.77386,-302.3769
-934.67334,-296.01105
-914.5729,-289.64523
-894.47235,-283.2794
-874.3719,128.72769
-854.27136,-1448.0234
-834.17084,-264.18192
-814.0704,-257.81607
-793.96985,-251.45026
-773.8693,-245.08443
-753.76886,-238.7186
-733.66833,-232.35277
-713.5678,-225.98694
-693.46735,-219.62111
-673.3668,-213.25528
-653.26636,298.09198
-633.16583,-200.52362
-613.0653,-194.15779
-592.96484,-187.79196
-572.8643,-181.42613
-552.7638,-175.0603
-532.6633,-168.69447
-512.5628,796.0604
-492.4623,-155.96281
-472.36182,-149.59698
-452.2613,-143.23116
-432.1608,-136.86533
-412.0603,-130.4995
-391.9598,-124.13367
-371.85928,-117.76784
-351.7588,-967.26996
-331.6583,-105.03618
-311.5578,-98.67035
-291.45728,-92.30452
-271.35678,817.9411
-251.25629,-79.57286
-231.15578,-73.20704
-211.05528,-66.84121
-190.95477,-60.475376
-170.85428,-54.109547
-150.75377,-47.743717
-130.65326,-41.377888
-110.552765,-35.012062
-90.45226,-28.64623
-70.35176,-22.280401
-50.251255,-15.914573
-30.150753,-9.548743
-10.050251,-3.1829145
10.050251,3.1829145
30.150753,-951.94385
50.251255,15.914573
70.35176,22.280401
90.45226,28.64623
110.552765,35.012062
130.65326,41.377888
150.75377,47.743717
170.85428,54.109547
190.95477,60.475376
211.05528,205.95059
231.15578,73.20704
251.25629,79.57286
271.35678,1248.5941
291.45728,92.30452
311.5578,98.67035
331.6583,105.03618
351.7588,111.40201
371.85928,117.76784
391.9598,124.13367
412.0603,130.4995
432.1608,-714.9471
452.2613,143.23116
472.36182,149.59698
492.4623,155.96281
512.5628,162.32864
532.6633,168.69447
552.7638,175.0603
572.8643,181.42613
592.96484,187.79196
613.0653,-196.19237
633.16583,200.52362
653.26636,206.88945
673.3668,213.25528
693.46735,219.62111
713.5678,225.98694
733.66833,232.35277
753.76886,-428.19247
773.8693,245.08443
793.96985,-734.2766
814.0704,257.81607
834.17084,264.18192
854.27136,270.54773
874.3719,276.91357
894.47235,283.2794
914.5729,289.64523
934.67334,62.02205
954.77386,302.3769
974.8744,308.7427
994.97485,315.10855
1015.0754,321.47437
1035.1759,327.8402
1055.2764,334.20602
1075.3768,340.57187
1095.4774,346.93768
1115.5779,353.30353
1135.6783,359.66934
1155.7789,366.0352
1175.8794,372.401
1195.9799,378.76685
1216.0804,385.13266
1236.1809,391.4985
1256.2814,397.86432
1276.382,404.23016
1296.4824,410.59598
1316.5829,416.96182
1336.6835,423.32764
1356.7839,429.69348
1376.8844,436.0593
1396.985,442.42514
1417.0854,448.79095
1437.1859,455.15677
1457.2864,461.5226
1477.387,467.88843
1497.4874,466.41602
1517.5879,480.6201
1537.6885,486.98593
1557.789,493.35175
1577.8894,499.7176
1597.99,506.0834
1618.0905,512.4492
1638.1909,518.81506
1658.2915,525.1809
1678.392,531.54675
1698.4924,537.91254
1718.593,544.2784
1738.6935,550.6442
1758.794,557.0101
1778.8945,563.37585
1798.995,569.7417
1819.0955,576.10754
1839.1959,582.4734
1859.2965,964.54846
1879.397,595.205
1899.4974,601.57086
1919.598,694.31793
1939.6985,614.3025
1959.799,620.66833
1979.8995,627.0342
2000.0,633.4
